Date Added,Content Lane,Daypart,Title / Hook,Format,CTA,Status,Owner,Scheduled Slot,Notes
2026-04-06,Daily Tips,Morning,SPF Reapplication,Story,Save this for your routine,Ready / Scheduled,Patrice,2026-04-06 08:30 PT,Use as the Monday reset tip
2026-04-06,Hydrafacial,Midday,Hydrafacial Congestion,Carousel,DM hydrafacial for guidance,Ready / Scheduled,Patrice,2026-04-06 12:30 PT,Good fit for the Monday clarify slot
2026-04-06,Circadia,Evening,Circadia Night Repair,Reel,Ask about your night routine,Ready / Scheduled,Patrice,2026-04-06 19:30 PT,Evening hero
2026-04-06,Daily Tips,Morning,Post-Treatment Water,Story,Reply if your skin runs dry,Ready / Scheduled,Patrice,2026-04-07 08:30 PT,Fits myth and clarify day
2026-04-06,Hydrafacial,Midday,Hydrafacial Event Prep,Carousel,Save this before your event,Ready / Scheduled,Patrice,2026-04-07 12:30 PT,Good event-prep midday asset
2026-04-06,Circadia,Evening,Circadia Barrier Ritual,Reel,DM ritual for the routine,Ready / Scheduled,Patrice,2026-04-07 19:30 PT,Evening hero
2026-04-06,Daily Tips,Morning,Clean Hands Face,Story,Poll your biggest morning habit,Ready / Scheduled,Patrice,2026-04-08 08:30 PT,Light-touch morning slot
2026-04-06,Hydrafacial,Midday,Hydrafacial Monthly Maintenance,Carousel,DM maintenance for timing help,Ready / Scheduled,Patrice,2026-04-08 12:30 PT,Works for the consult-and-guide slot
2026-04-06,Circadia,Evening,Consistency Over Chaos,Carousel,Save this if your routine feels crowded,Ready / Scheduled,Patrice,2026-04-08 19:30 PT,Evening hero
2026-04-06,Daily Tips,Morning,Morning Clean Start,Static,Need help simplifying,Ready / Scheduled,Patrice,2026-04-09 08:30 PT,Pull from Mission Control viewer
2026-04-06,Hydrafacial,Midday,Hydrafacial Add-Ons That Make Sense,Carousel,Ask which add-on fits your skin,Ready / Scheduled,Patrice,2026-04-09 12:30 PT,Good Thursday outcome slot
2026-04-06,Circadia,Evening,Evening Routine Reset,Reel,Book a homecare consult,Ready / Scheduled,Patrice,2026-04-09 19:30 PT,Approved backlog hero
2026-04-06,Daily Tips,Morning,Morning SPF That Actually Gets Worn,Story,Need an SPF recommendation,Need Natalie Approval,Patrice,2026-04-10 08:30 PT,If delayed replace with a story tip
2026-04-06,Hydrafacial,Midday,Why Hydrafacial Stays Booked,Carousel,Ask which Hydrafacial fits you,Need Natalie Approval,Patrice,2026-04-10 12:30 PT,Push into the Thursday approval batch
2026-04-06,Circadia,Evening,Circadia After Dark,Reel,Ask about expert-guided homecare,Need Natalie Approval,Patrice,2026-04-10 19:30 PT,Evening hero pending review
2026-04-06,Daily Tips,Morning,Cloudy Still Counts,Story,Ask which SPF texture you prefer,Need Natalie Approval,Patrice,2026-04-11 08:30 PT,Good Saturday myth-buster
2026-04-06,Hydrafacial,Midday,Express vs Hydrafacial vs Platinum,Carousel,Save this if you are deciding between tiers,Need Natalie Approval,Patrice,2026-04-11 12:30 PT,Use if the Friday slot performs well
2026-04-06,Circadia,Evening,Barrier Support Over Trend Chasing,Carousel,DM calm for barrier support,Need Natalie Approval,Patrice,2026-04-11 19:30 PT,Evening hero pending review
2026-04-06,Daily Tips,Morning,Morning Glow Reset,Static,Save this for your next reset,Queued Idea,Patrice,2026-04-12 08:30 PT,Use if Sunday needs a clean fallback
2026-04-06,Hydrafacial,Midday,Midday Hydrafacial,Carousel,DM if you want help choosing a treatment,Queued Idea,Patrice,2026-04-12 12:30 PT,Backlog option for Sunday midday
2026-04-06,Circadia,Evening,Evening Circadia,Reel,Ask about your evening routine,Queued Idea,Patrice,2026-04-12 19:30 PT,Use only if no fresher Circadia hero is approved
