Metric,Value,Notes
Total bookings this week,0,Booking tracker is still blank and needs live business data
Hydrafacial bookings,0,No live booking rows entered yet
Open appointment windows,0,Add live availability once the booking tracker is in use
Daily Tips posted this week,3,Morning visibility touch from seeded demo week
Hydrafacial midday posts posted this week,3,Midday treatment driver from seeded demo week
Circadia hero posts posted this week,3,Evening hero post count from seeded demo week
New leads / DMs this week,0,Leads + DMs tab still needs live inputs
Hero-post completion rate,100%,Seeded demo week shows full evening coverage
Biggest win,Approved queue already staged for next week,12 approved posts currently in Phase 1 queue
Biggest issue,Live bookings and DM data are not yet connected,Need real operator entry or Google automation
Best-performing Daily Tip,Why SPF still matters on cloudy days,Seeded from demo cadence
Best-performing Hydrafacial angle,What Hydrafacial helps with when skin looks dull,Seeded from demo cadence
Best-performing Circadia hero post,Protection by day repair by night,Seeded from demo cadence
Today's priority,Protect the approval pipeline for Friday and Saturday slots,6 queue items currently need Natalie review
Tonight's hero post focus,Circadia trust and nighttime routine authority,Keep evening lane as the strongest asset
Offer to promote,Hydrafacial,Primary revenue driver with 12 approved queue items and 3 backlog fallbacks
