Metric,Value,Notes
Total bookings this week,,
Hydrafacial bookings,,Primary booking driver in this model
Open appointment windows,,
Daily Tips posted this week,,Morning visibility touch
Hydrafacial midday posts posted this week,,Midday treatment driver
Circadia hero posts posted this week,,Evening hero post count
New leads / DMs this week,,
Hero-post completion rate,,Percent of evenings where Circadia hero content shipped
Biggest win,,
Biggest issue,,
Best-performing Daily Tip,,
Best-performing Hydrafacial angle,,
Best-performing Circadia hero post,,
Today's priority,,
Tonight's hero post focus,,
Offer to promote,,
